1797	0
2999	50148
3401	136676
1345	235421
1307	272470
1290	309308
1711	346461
1941	395465
480	449815
518	463780
1019	478669
2134	508617
3502	569221
1389	669458
882	710478
2193	734416
119	798737
1606	802231
3638	847621
1388	956428
290	996257
613	1004684
2185	1022530
36	1085296
202	1086351
137	1092074
27::USAR0001::Adona, AR
24::AGXX0034::Adrar, Algeria
29::USGA0005::Adrian, GA
25::USIL0005::Adrian, IL
25::USMI0004::Adrian, MI
25::USMN0004::Adrian, MN
25::USMO0001::Adrian, MO
25::USOH0007::Adrian, OH
25::USOR0003::Adrian, OR
25::USPA0012::Adrian, PA
25::USTX0009::Adrian, TX
25::USWV0002::Adrian, WV
25::USIN0001::Advance, IN
26::USMO0002::Advance, MO
26::USNC0002::Advance, NC
26::USWV0003::Advent, WV
25::ARDF0127::Aeroparque Buenos Aires, Argentina
49::BRXX0687::Aeroporto de Confins, Brazil
43::BRXX0688::Aeroporto do Galeao, Brazil
42::USIA0005::Afton, IA
24::USMI0005::Afton, MI
24::USMN0005::Afton, MN
24::USNY0008::Afton, NY
24::USOK0006::Afton, OK
24::USTN0003::Afton, TN
24::USTX0010::Afton, TX
24::USVA0004::Afton, VA
24::USWI0005::Afton, WI
24::USWY0001::Afton, WY
24::BRXX0347::Afua, Brazil
27::TUXX0046::Afyon, Turkey
28::NGXX0001::Agadez, Niger
28::MOXX0022::Agadir Al Massira, Morocco
41::MPXX0001::Agalega, Mauritius
33::USGU0002::Agana Heights, Guam
34::USGU0001::Agana, Guam
26::RSXX0002::Agapovka, Russia
31::USSD0002::Agar, SD
23::INXX0153::Agartala, India
30::CAXX0002::Agassiz, Canada
30::USGU0003::Agat, Guam
25::USCO0001::Agate, CO
24::USND0004::Agate, ND
24::USMA0006::Agawam, MA
25::FRXX0135::Agen, France
27::USIA0006::Agency, IA
25::USMO0003::Agency, MO
25::USKS0004::Agenda, KS
25::USKY0641::Ages Brookside, KY
33::RSXX0342::Aginskoe, Russia
31::USOR0004::Agness, OR
25::ITXX0100::Agnone, Italy
28::USCA0005::Agoura Hills, CA
31::USKS0005::Agra, KS
23::USOK0007::Agra, OK
23::SPXX0087::Agreda, Spain
28::GRXX0001::Agrinion, Greece
31::USTX0011::Agua Dulce, TX
29::MXSR0085::Agua Prieta, Mexico
34::USPR0002::Aguada, Puerto Rico
34::USPR0003::Aguadilla, Puerto Rico
37::BRXX0348::Aguai, Brazil
28::USCA0006::Aguanga, CA
26::USPR0004::Aguas Buenas, Puerto Rico
40::BRXX0349::Aguas de Sao Pedro, Brazil
41::BRXX0350::Aguas Formosas, Brazil
37::MXAS0002::Aguascalientes, Mexico
37::BRXX0479::Agudos, Brazil
29::USAZ0001::Aguila, AZ
25::USCO0002::Aguilar, CO
26::USPR0005::Aguirre, Puerto Rico
35::RSXX0383::Agzu, Russia
27::USMN0007::Ah Gwah Ching, MN
32::GMXX0163::Ahaus, Germany
29::INXX0001::Ahmadabad, India
31::INXX0183::Ahmednagar, India
32::USMI0006::Ahmeek, MI
25::USNC0003::Ahoskie, NC
26::CAXX0003::Ahousat, Canada
30::GMXX0001::Ahrensburg, Germany
34::USID0002::Ahsahka, ID
26::USCA0007::Ahwahnee, CA
27::IRXX0032::Ahwaz, Iran
26::USPR0006::Aibonito, Puerto Rico
36::USHI0001::Aiea, HI
23::AUXX0034::Aigen Im Ennstal, Austria
40::CHXX0174::Aihui, China
27::USSC0003::Aiken, SC
24::USTX0012::Aiken, TX
24::USGA0006::Ailey, GA
24::BRXX0351::Aimores, Brazil
30::USLA0005::Aimwell, LA
26::USIA0007::Ainsworth, IA
28::USNE0003::Ainsworth, NE
28::UKXX2092::Aintree, United Kingdom
38::CAXX0004::Airdrie, Canada
30::UKXX0003::Airdrie, United Kingdom
38::ASXX0292::Aireys Inlet, Australia
38::USPA0013::Airville, PA
27::USWA0005::Airway Heights, WA
33::USMN0008::Aitkin, MN
25::FRXX0001::Aix-en-Provence, France
38::INXX0200::Aizwal, India
28::FRXX0129::Ajaccio, France
30::CAXX0005::Ajax, Canada
27::TCXX0002::Ajman, United Arab Emirates
42::INXX0002::Ajmer, India
27::USAZ0002::Ajo, AZ
22::UZXX0006::Ak-Bajtal, Uzbekistan
36::USSD0003::Akaska, SD
25::USMN0009::Akeley, MN
25::USLA0006::Akers, LA
24::GRXX0002::Akharnai, Greece
31::TUXX0044::Akhisar, Turkey
30::USAK0003::Akiachak, AK
27::USAK0004::Akiak, AK
24::USIL0006::Akin, IL
23::JAXX0001::Akita, Japan
27::KZXX0049::Akkuduk, Kazakhstan
34::INXX0160::Akola, India
27::CHXX0210::Akqi, China
26::USAL0006::Akron, AL
24::USCO0003::Akron, CO
24::USIA0008::Akron, IA
24::USIN0002::Akron, IN
24::USMI0007::Akron, MI
24::USNY0009::Akron, NY
24::USOH0008::Akron, OH
24::USPA0014::Akron, PA
24::CYXX0007::Akrotiri, Cyprus
31::RSXX0348::Aksa, Russia
27::KZXX0025::Aktjubinsk, Kazakhstan
37::JAXX0002::Akune, Japan
27::ICXX0005::Akureyri, Iceland
32::ICXX0006::Akurnes, Iceland
31::USAK0005::Akutan, AK
25::SAXX0031::Al Ahsa, Saudi Arabia
36::JOXX0001::Al Aqabah, Jordan
32::IZXX0001::Al Azamiyah, Iraq
32::IZXX0002::Al Basrah, Iraq
30::SAXX0003::Al Hariq, Saudi Arabia
37::IZXX0003::Al Hillah, Iraq
30::MOXX0013::Al Hoceima, Morocco
34::YMXX0002::Al Hudaydah, Yemen
33::SAXX0004::Al Hulwah, Saudi Arabia
38::KUXX0001::Al Jahrah, Kuwait
32::SAXX0005::Al Jawf, Saudi Arabia
36::IZXX0004::Al Karkh, Iraq
29::IZXX0005::Al Kazimiyah, Iraq
33::SAXX0006::Al Khubar, Saudi Arabia
38::IZXX0006::Al Kut, Iraq
27::SAXX0007::Al Lith, Saudi Arabia
36::BAXX0001::Al Manama, Bahrain
33::SYXX0001::Al Mismiyah, Syria
33::BAXX0002::Al Muharraq, Bahrain
35::SAXX0008::Al Qabiyah, Saudi Arabia
39::SAXX0026::Al Qaysumah, Saudi Arabia
40::SYXX0002::Al Qutayfah, Syria
33::QAXX0001::Al Wakrah, Qatar
31::USNY0010::Alabama, NY
26::USAL0007::Alabaster, AL
28::RPXX0058::Alabat, Philippines
34::USFL0001::Alachua, FL
26::USWY0002::Aladdin, WY
26::BRXX0002::Alagoinhas, Brazil
33::CSXX0001::Alajuela, Costa Rica
35::USAK0006::Alakanuk, AK
27::USNC0004::Alamance, NC
27::USCA0008::Alameda, CA
26::USCA0009::Alamo, CA
24::USGA0007::Alamo, GA
24::USIN0003::Alamo, IN
24::USND0005::Alamo, ND
24::USNV0001::Alamo, NV
24::USTN0004::Alamo, TN
24::USTX0013::Alamo, TX
24::USNM0002::Alamogordo, NM
29::USCO0004::Alamosa, CO
26::USTX0014::Alanreed, TX
27::USMI0008::Alanson, MI
26::USGA0008::Alapaha, GA
26::CHXX0212::Alar, China
26::RSXX0191::Alatyr, Russia
29::USMI0009::Alba, MI
23::USMO0004::Alba, MO
23::USPA0015::Alba, PA
23::USTX0015::Alba, TX
23::SPXX0197::Albacete/Los Llanos, Spain
41::USCA0010::Albany, CA
25::USGA0009::Albany, GA
25::USIL0007::Albany, IL
25::USIN0004::Albany, IN
25::USKY0642::Albany, KY
25::USLA0007::Albany, LA
25::USMN0010::Albany, MN
25::USMO0005::Albany, MO
25::USNY0011::Albany, NY
25::USOH0009::Albany, OH
25::USOK0008::Albany, OK
25::USOR0005::Albany, OR
25::USTX0016::Albany, TX
25::USVT0002::Albany, VT
25::USWI0006::Albany, WI
25::USNC0005::Albemarle, NC
28::USIL0008::Albers, IL
25::USIA0009::Albert City, IA
30::USMN0011::Albert Lea, MN
29::USKS0006::Albert, KS
25::USOK0009::Albert, OK
25::USAL0008::Alberta, AL
26::USMN0012::Alberta, MN
26::USVA0005::Alberta, VA
26::USMT0003::Alberton, MT
27::USNC0006::Albertson, NC
28::USNY0012::Albertson, NY
28::USAL0009::Albertville, AL
30::CAXX0007::Albertville, Canada
34::USMN0013::Albertville, MN
30::FRXX0002::Albi, France
27::USIA0010::Albia, IA
24::USWY0003::Albin, WY
24::USCA0011::Albion, CA
25::USIA0011::Albion, IA
25::USID0003::Albion, ID
25::USIL0009::Albion, IL
25::USIN0005::Albion, IN
25::USME0005::Albion, ME
25::USMI0010::Albion, MI
25::USNE0004::Albion, NE
25::USNY0013::Albion, NY
25::USOK0010::Albion, OK
25::USPA0016::Albion, PA
25::USRI0002::Albion, RI
25::USWA0006::Albion, WA
25::DAXX0002::Alborg, Denmark
30::USMN0014::Alborn, MN
25::USWV0004::Albright, WV
27::USPA0017::Albrightsville, PA
33::USNM0004::Albuquerque, NM
30::USVT0003::Alburg, VT
25::USIA0012::Alburnett, IA
28::USPA0018::Alburtis, PA
